Probe Time,Probe 0,Probe 1,Probe 2,Probe 3,Probe 4
0.1385,206.592,207.24,157.906,134.969,111.199
0.139,216.099,229.416,161.597,138.913,115.131
0.1395,222.296,263.269,155.854,133.309,109.534
0.14,216.795,204.249,175.497,153.081,129.236
0.1405,135.9,80.864,143.487,121.121,97.2856
0.141,166.921,160.344,156.634,134.519,110.647
0.1415,179.233,185.312,157.141,134.701,110.814
0.142,180.306,189.831,156.58,133.773,109.947
0.1425,182.996,190.149,156.696,133.795,109.987
0.143,180.04,181.554,155.826,132.742,108.953
0.1435,179.07,181.043,154.649,131.592,107.833
0.144,176.23,178.261,151.672,128.606,104.823
0.1445,177.751,177.619,151.855,128.775,104.996
0.145,180.515,178.657,152.537,129.404,105.602
0.1455,182.496,179.266,152.994,129.835,106.038
0.146,182.815,180.137,153.267,130.059,106.246
0.1465,183.822,180.699,152.609,129.336,105.514
0.147,183.439,180.985,152.215,128.903,105.122
0.1475,182.798,181.002,151.722,128.357,104.621
0.148,182.845,181.205,151.666,128.288,104.624
0.1485,182.241,180.897,151.091,127.69,104.097
0.149,183.483,181.369,151.1,127.67,104.147
0.1495,182.892,181.312,150.949,127.497,104.056
0.15,183.808,181.524,150.187,126.716,103.344
0.1505,182.597,181.104,150.138,126.648,103.314
0.151,183.056,181.618,149.147,125.659,102.354
0.1515,177.502,177.814,148.991,125.499,102.238
0.152,181.451,179.973,151.093,127.621,104.374
0.1525,175.441,174.631,144.596,121.117,97.8959
0.153,174.763,175.694,145.283,121.806,98.5871
0.1535,175.033,173.53,145.92,122.488,99.2962
0.154,172.615,172.413,146.204,122.76,99.5836
0.1545,171.918,169.903,146.216,122.786,99.6431
0.155,171.255,169.291,145.635,122.272,99.2202
0.1555,171.004,170.784,145.906,122.578,99.599
0.156,169.909,170.254,145.985,122.654,99.7603
0.1565,169.06,169.003,144.231,120.975,98.2559
0.157,170.182,170.978,145.198,121.935,99.3149
0.1575,167.956,169.473,144.087,120.865,98.3777
0.158,171.68,172.939,143.81,120.567,98.1538
0.1585,167.136,169.192,143.943,120.665,98.3309
0.159,172.136,173.677,147.467,124.215,101.898
0.1595,162.193,164.716,138.117,114.858,92.568
0.16,166.04,166.768,142.504,119.221,96.8881
0.1605,169.636,171.647,144.925,121.652,99.2466
0.161,162.539,165.152,135.961,112.707,90.1861
0.1615,163.962,165.379,138.94,115.679,93.0474
0.162,163.87,165.594,138.516,115.264,92.4695
0.1625,163.835,164.891,138.274,115.046,92.1108
0.163,165.856,165.954,139.634,116.417,93.3153
0.1635,164.561,164.487,138.433,115.216,91.9646
0.164,165.657,165.241,138.969,115.768,92.3699
0.1645,164.706,164.276,138.528,115.372,91.8747
0.165,162.915,161.56,137.669,114.539,90.9588
